Headline,category1,category2,category3,category4
Hockey Night in Canada: Stanley Cup Playoffs,sports,,,
When tenants stopped paying rent Niagara landlord says she offered them $10K to leave. It didn't work,local news,,,
'Meno TikTok' heats up as women seek better perimenopause info on social networks,culture,gender identity,,
Jamal Murray's former coach hopes NBA victory will inspire the next generation,sports,,,
I'm a Toronto sex worker: Here's why I find my job empowering,sex,culture,,
Instant Brands maker of Instant Pot and Pyrex cookware files for bankruptcy,national news,,,
Staff in public safety minister's office knew about Paul Bernardo's prison transfer months before minister did,national news,politics,,
Donald Trump pleads not guilty to all 37 criminal charges in classified documents case,national news,politics,,
Patient lawsuits say fake nurse caused 'excruciating' pain  loss of trust in health-care system,,national news,,
Can the Golden Knights win the Stanley Cup  or will the Panthers stay alive? Watch playoff hockey live on CBC,,sports,,
Poland was headed to the far right. Then Russia invaded Ukraine,national news,politics,,
The Joni Mitchell concert of a lifetime,culture ,,,
Canadian schools are experimenting with cellphone bans. Not everyone is sold,national news,,,
'A sweet little old lady  I am not': At 81  Olive decides to get her PhD,,,local news,
Buxom  bearded  beautiful: Alma Bitches is at the heart of Vancouver drag,,,culture,gender identity
Winnipeg's North End: A Food Desert,local news,,,
Joel McHale leads the Animal Control crew,culture,,,
2023 Polaris Music Prize long list: Feist  Jessie Reyez and more,,culture,,
After years of waiting  this woman says Canada's delay to expand MAID is 'beyond hurtful',,national news,,
'Mission accomplished': Patrick Roy departs bench of Memorial Cup-winning Quebec Remparts,sports,,,
Neuroscientist reveals 'bizarre' things that can happen to people after a brain injury,national news,,,
Video of deadly ambush in Calgary suburbs released following failed bid for publication ban,local news,,,
Darko Rajakovic hired as Toronto Raptors' new head coach,sports,,,
Michael Andlauer reaches agreement to buy Ottawa Senators,sports,,,
Will you be my bridesmaid? It'll probably cost you thousands,national news,culture,,
New Beatles song created using AI  says Paul McCartney,,culture,,
Rangers opt for Stanley Cup-winning experience with hiring of head coach Laviolette,sports,,,
Veteran film  TV actor Treat Williams dead after motorcycle accident,,national news,culture,
Queer is not a bad word. It's our unifying path forward,gender identity,culture,,
Hate symbols sprayed across N.B. park named for teen who inspired global kindness campaign,local news,,,
Did I buy a condo on stolen land? How purchasing my first home made me question property rights,local news,,,
He spent 730 days in solitary confinement as a child. Now he's fighting for change,national news,,,
Janelle Monae is ushering us into The Age of Pleasure,culture,,,
Security camera captures Pride flags being torn down from Norwich home,local news,,,
'If you have to grow old  this is the place to be.' Friends in their 90s love life in their New Brunswick town,,local news,,
The world watches as Canada moves to seize a Russian cargo jet for Ukraine,national news,,,
New cat contraception method could help manage feral populations,local news,,,
Still Standing: Oneida Nation of the Thames  ON,,culture,,
B.C. wildfire fighter 19 died after being hit by falling tree while responding to blaze: RCMP,,,local news,
SAG-AFTRA is joining the WGA on strike. What happens now?,national news,culture,,
FIS removes Lake Louise from 2023-24 alpine ski World Cup calendar,sports,,,
Why dozens of turtles march through this Connecticut dry-cleaner each year,local news,,,
Josh Ross  the Reklaws lead the 2023 Canadian Country Music Association Awards nominations,,culture,,
Protesters remain unshaken after Manitoba judge orders landfill blockade must come down,local news,,,
B.C. wildfire fighter 19  died after being hit by falling tree while responding to blaze,,,local news,
Canada's Tornado Alley may be moving from Prairies to Ontario-Quebec  warn researchers,,national news,,
The oceans are rich in critical minerals. But will miners be allowed to get them?,national news,,,
WHO declares aspartame 'possibly carcinogenic',national news,,,
From Bollywood to Broadway: an Indian historical epic hits Canadian stage,culture,,,
Gulls cause chaos after taking over parking lot in northern B.C. mall,local news,,,
Who farted? Is the human race 'farting itself out of existence'?,tabloid-style news,,,
'A lot of this is shoddy science': Dr. Jen debunks dieting & fad weight-loss products,national news,,,
Ten Year Old Tom: Good kid. Bad advice,tabloid-style news,gossip,,
Cycling governing body bans female transgender athletes from women's races,sports,gender identity,,
Deer Islanders 'all happy' after alleged vigilantism rids island of accused thieves  says senior,,local news,tabloid-style news,
How religion helped shape Dungeons and Dragons,culture,,,
'Serious concerns' raised over Ontario Place redevelopment during city's public consultations,local news,,,
How to make a denim maxi skirt out of an old pair of jeans,fashion,,,
Is Xavier Dolan really quitting filmmaking?,culture,gossip,,
Hidden gems: How 3 Canadian players took non-traditional roads to Women's World Cup,sports,,,
Skyguiders album features 383 Indigenous youth voices,culture,,,
Rory McIlroy says he'd sooner retire than play at LIV Golf,sports,,,
Christian conservative group recruiting thousands to back embattled N.B. premier,politics,local news,,
Former Coyote Galchenyuk threatened officers  used racial slur during arrest  police report says,,,sports,tabloid-style news
Lisa Marie Presley died of complications from prior weight-loss surgery  says coroner,,national news,gossip,
Bug off! Your scent signature could be key to keeping mosquitoes away,national news,,,
Man charged in daytime Toronto shooting death  victim remembered as 'beacon of light',,local news,,
Ruby Bruce's illustrations of Indigenous food culture spark nostalgia and connection,culture,,,
In the '60s  3 women were chosen to live in the jungle and study the great apes. Here's why,,culture,,
Hamilton man missing since 2019 found alive in U.S.  by volunteer search group,,local news,,
'They don't care about me mom': Teen's scoliosis surgery delayed five times,,local news,,
Tornado in Barrhaven damages about 125 homes,local news,,,
A 25-minute indoor cardio workout that requires no equipment,culture,,,
Still Standing: Jonny visits a town on the most westerly edge of Canada,culture,,,
Air Canada profits soar amid booming demand for international travel — and ticket prices took off  too,,national news,,
Celebrating 50 years of hip-hop music,culture,,,
Woman speaks out after 'excruciating' procedure at Brampton hospital says details not properly communicated,,local news,,
